Journey Step,Story ID,Title,Acceptance Criteria,Notes,Sprint
1. Login,1.1,"As a sales professional, I want to log in using my Sleep Number SSO credentials so that I can securely access the training application",,,
1. Login,1.2,"As a user, I want my session to remain active during my workday so that I don't have to repeatedly log in",,,
2. Home,2.1,"As a user, I want to see a personalized welcome message with my name so that the experience feels tailored to me",,,
2. Home,2.2,"As a user, I want to view my training stats (total sessions, avg duration, last session date) so that I can track my progress",,,
2. Home,2.3,"As a user, I want a prominent Start New Session button so that I can quickly begin training",,,
2. Home,2.4,"As a user, I want a clean responsive layout so that I can navigate the app easily on any device",,,
2. Home,5.1,"As a user, I want to see my last 10 sessions on the home page so that I can review recent training",,,
2. Home,5.2,"As a user, I want each session card to show date persona duration and summary so that I can quickly identify sessions",,,
3. Select Persona,3.1,"As a user, I want to select a DISC persona (Director/Relator/Socializer/Thinker/Random) so that I can practice with different customer personality types",,,
3. Select Persona,3.2,"As a user, I want to select a marketing sub-persona (Skeptical/Budget Conscious/Luxury Seeker/Random) so that I can practice with different buyer motivations",,,
3. Select Persona,3.3,"As a user, I want to click Begin Training to start my session so that I can enter the training experience",,,
3. Select Persona,3.4,"As a user, I want the system to randomly assign personas when I select Random so that I can be surprised by the customer type",,,
4. Training Session,4.1,"As a user, I want to see a realistic AI avatar with voice so that the training feels like a real customer interaction",,,
4. Training Session,4.2,"As a user, I want the AI to respond based on the selected persona so that I get realistic practice scenarios",,,
4. Training Session,4.3,"As a user, I want to see a 15-minute countdown timer so that I know how much time I have remaining",,,
4. Training Session,4.4,"As a user, I want to pause and resume my session so that I can handle interruptions",,,
4. Training Session,4.5,"As a user, I want to end my session early so that I can stop when I feel ready",,,
4. Training Session,4.6,"As a user, I want to mute my microphone and adjust volume so that I can control the audio experience",,,
4. Training Session,4.7,"As a user, I want the session to end when I say Lets get your SleepNumber setting so that the natural sales flow triggers completion",,,
4. Training Session,4.8,"As a user, I want the session to auto-end at 15 minutes so that sessions don't run indefinitely",,,
4. Training Session,4.9,"As a user, I want my session to be recorded so that I can replay it later",,,
4. Training Session,4.10,"As a user, I want a live transcript display so that I can follow the conversation in real-time",,,
5. Self-Evaluation,6.1,"As a user, I want to see an evaluation form after my session so that I can reflect on my performance",,,
5. Self-Evaluation,6.2,"As a user who selected Random, I want to guess which DISC persona I interacted with so that I can test my persona recognition skills",,,
5. Self-Evaluation,6.3,"As a user, I want to answer What was the toughest part and What could you have done better so that I can self-reflect",,,
5. Self-Evaluation,6.4,"As a user, I want to submit or skip the evaluation so that I can proceed to my results",,,
6. Results,7.1,"As a user, I want to see my actual session duration so that I know how long I practiced",,,
6. Results,7.2,"As a user, I want AI-generated qualitative feedback based on Connect & Discover criteria so that I get expert coaching",,,
6. Results,7.3,"As a user, I want to see my strengths highlighted so that I know what I did well",,,
6. Results,7.4,"As a user, I want to see areas for improvement so that I know where to focus",,,
6. Results,7.5,"As a user, I want to replay my session so that I can review my performance",,,
6. Results,7.6,"As a user, I want a Return to Home button so that I can start another session or exit",,,
7. History,5.3,"As a user, I want to click a session card to view full details so that I can dive deeper into past performance",,,
8. System Prompts,8.1,"As a system, I need AI persona behavior prompts for all DISC + Marketing combinations so that the AI responds authentically",,,
8. System Prompts,8.2,"As a system, I need a session evaluation prompt so that the AI can assess Connect & Discover performance",,,
8. System Prompts,8.3,"As a developer, I want to test and iterate on prompts so that AI responses are high quality",,,
9. Infrastructure,9.1,"As a DevOps engineer, I want Azure App Service configured so that the application can be hosted",,,
9. Infrastructure,9.2,"As a DevOps engineer, I want a database (Cosmos DB/Azure SQL) provisioned so that data can be stored",,,
9. Infrastructure,9.3,"As a developer, I want Azure AI Foundry integrated so that Claude API is accessible",,,
9. Infrastructure,9.4,"As a DevOps engineer, I want a CI/CD pipeline so that deployments are automated",,,
9. Infrastructure,9.5,"As a DevOps engineer, I want dev/staging/prod environments configured so that code can progress through stages",,,
9. Infrastructure,9.6,"As a DevOps engineer, I want monitoring and logging set up so that issues can be detected and debugged",,,
10. Admin Dashboard,10.1,"As an admin, I want a real-time analytics dashboard so that I can monitor training adoption",,,
10. Admin Dashboard,10.2,"As an admin, I want role-based access control so that only authorized users can view analytics",,,
10. Admin Dashboard,10.3,"As an admin, I want to see total users and active users so that I can track adoption",,,
10. Admin Dashboard,10.4,"As an admin, I want to see total sessions and completion rate so that I can measure engagement",,,
10. Admin Dashboard,10.5,"As an admin, I want to see average session duration so that I can understand usage patterns",,,
10. Admin Dashboard,10.6,"As an admin, I want a chart showing sessions by DISC persona so that I can see persona preferences",,,
10. Admin Dashboard,10.7,"As an admin, I want a chart showing sessions by marketing persona so that I can see sub-persona preferences",,,
10. Admin Dashboard,10.8,"As an admin, I want a heatmap of persona combinations so that I can see which combos are popular",,,
10. Admin Dashboard,10.9,"As an admin, I want to see self-evaluation submission rate so that I can measure reflection engagement",,,
10. Admin Dashboard,10.10,"As an admin, I want to see user improvement trends so that I can measure training effectiveness",,,
10. Admin Dashboard,10.11,"As an admin, I want real-time data updates so that metrics are current",,,
10. Admin Dashboard,10.12,"As an admin, I want date range filters so that I can analyze specific time periods",,,
10. Admin Dashboard,10.13,"As an admin, I want to export data to CSV/PDF so that I can create reports",,,
