Category,Feature/Component,Description / Acceptance Criteria,Dependencies,Risks / Assumptions,Priority,Frontend (hrs),Backend (hrs),AI Integration & Avatars (hrs),Prompt Engineering (hrs),DevOps (hrs),Total (hrs)
SSO & Authentication,SAML SSO Integration,"User authenticates via Sleep Number SSO (SAML). Redirect to IdP, handle callback, establish session, store user profile.","Azure AD / Identity Provider access, SAML metadata","Risk: SSO configuration delays from IT. Assumption: SAML metadata available.",MVP,,,,,0,0
SSO & Authentication,User Session Management,"Maintain authenticated session, handle token refresh, logout functionality, session timeout handling.",SSO Integration,"Assumption: Standard session duration (e.g., 8 hours)",MVP,,,,,0,0
Home Page,Welcome Message,"Display personalized welcome message with professional + motivational tone. Show user's first name from SSO profile.",SSO Integration,Assumption: User profile includes display name,MVP,,,,,0,0
Home Page,User Stats Dashboard,"Display: Total sessions completed, Average session duration, Last session date. Pull from session history data.",Backend API for stats,"Risk: Performance if many sessions. Assumption: Stats calculated server-side.",MVP,,,,,0,0
Home Page,Start New Session Button,"CTA button to navigate to Persona Selection screen. Prominent placement, clear labeling.",None,None,MVP,,,,,0,0
Home Page,Navigation & Layout,"Overall home page layout, responsive design, navigation structure.",None,Assumption: Web-only (no mobile app),MVP,,,,,0,0
Persona Selection,DISC Persona Selection,"Radio/card selection for: Director, Realter, Socializer, Thinker, Random. Visual representation of each persona.",UI/UX Design,Assumption: Single selection only,MVP,,,,,0,0
Persona Selection,Marketing Sub-Persona Selection,"Radio/card selection for: Skeptical, Budget Conscious, Luxury Seeker, Random. Can combine with DISC selection.",UI/UX Design,Assumption: Single selection only,MVP,,,,,0,0
Persona Selection,Begin Training Button,"Start session with selected personas. Validate selection made, initiate session creation in backend.",Backend session API,"Risk: Need clear error handling if no selection made",MVP,,,,,0,0
Persona Selection,Random Selection Logic,"When Random selected, system randomly assigns persona(s). Store actual persona for later reveal in evaluation.",Backend logic,Assumption: Randomization happens server-side,MVP,,,,,0,0
Training Session,AI Avatar Engine,"Display realistic AI avatar with integrated voice. Avatar should match persona characteristics. Different avatars and voices for different personas. Includes lip sync and voice output.",Avatar technology selection,"Risk: Avatar licensing/costs. Risk: Avatar realism quality. Risk: Voice latency.",MVP,,,,,0,0
Training Session,AI Conversation Engine,"Process user input, generate contextual AI responses based on persona behavior prompt. Maintain conversation context.",Prompt Engineering complete,"Risk: Response quality/relevance. Assumption: Using Claude via Azure AI Foundry.",MVP,,,,,0,0
Training Session,15-Minute Timer Display,"Visual countdown timer showing remaining session time. Warning at low time (e.g., 2 min remaining).",None,Assumption: Timer visible but not intrusive,MVP,,,,,0,0
Training Session,Session Controls - Pause/Resume,"Ability to pause the session and resume. Pause should stop timer and mute interaction.",None,"Risk: State management complexity when paused",MVP,,,,,0,0
Training Session,Session Controls - End Early,"Button to end session before 15 min or trigger phrase. Confirm before ending.",None,None,MVP,,,,,0,0
Training Session,Session Controls - Mute/Volume,"Mute microphone, adjust AI voice volume. Visual indicators for mute state.",None,None,MVP,,,,,0,0
